event_type,ticker,day_type,time_frame,slot,inf_range,sup_range,prob_up,prob_down,count_of_klines_inside_range
5m,BTC,weekend,tf1,11,100.0,110.0,0.8431372549019608,0.1568627450980392,49
5m,BTC,weekend,tf1,11,110.0,120.0,0.8478260869565217,0.1521739130434782,44
5m,BTC,weekend,tf1,11,120.0,130.0,0.896551724137931,0.1034482758620689,27
5m,BTC,weekend,tf1,11,130.0,140.0,0.8461538461538461,0.1538461538461538,24
5m,BTC,weekend,tf1,11,140.0,150.0,0.7916666666666666,0.2083333333333333,22
5m,BTC,weekend,tf1,12,-160.0,-150.0,0.1153846153846153,0.8846153846153846,24
5m,BTC,weekend,tf1,12,-140.0,-130.0,0.125,0.875,30
5m,BTC,weekend,tf1,12,-130.0,-120.0,0.088235294117647,0.9117647058823528,32
5m,BTC,weekend,tf1,12,-120.0,-110.0,0.1063829787234042,0.8936170212765957,45
5m,BTC,weekend,tf1,12,-110.0,-100.0,0.203125,0.796875,62
5m,BTC,weekend,tf1,12,-100.0,-90.0,0.1176470588235294,0.8823529411764706,66
5m,BTC,weekend,tf1,12,-90.0,-80.0,0.1533333333333333,0.8466666666666667,73
5m,BTC,weekend,tf1,12,-80.0,-70.0,0.1904761904761904,0.8095238095238095,103
5m,BTC,weekend,tf1,12,-70.0,-60.0,0.2947368421052632,0.7052631578947368,93
5m,BTC,weekend,tf1,12,-60.0,-50.0,0.2847222222222222,0.7152777777777778,142
5m,BTC,weekend,tf1,12,-50.0,-40.0,0.2796208530805687,0.7203791469194313,209
5m,BTC,weekend,tf1,12,-40.0,-30.0,0.3141762452107279,0.685823754789272,259
5m,BTC,weekend,tf1,12,-30.0,-20.0,0.2882352941176471,0.7117647058823529,338
5m,BTC,weekend,tf1,12,-20.0,-10.0,0.4160756501182033,0.5839243498817968,421
5m,BTC,weekend,tf1,12,-10.0,0.0,0.4056795131845842,0.5943204868154158,491
5m,BTC,weekend,tf1,12,0.0,10.0,0.5623818525519849,0.4376181474480151,527
5m,BTC,weekend,tf1,12,10.0,20.0,0.6563307493540051,0.3436692506459948,385
5m,BTC,weekend,tf1,12,20.0,30.0,0.6854838709677419,0.3145161290322581,370
5m,BTC,weekend,tf1,12,30.0,40.0,0.6821192052980133,0.3178807947019867,300
5m,BTC,weekend,tf1,12,40.0,50.0,0.6529680365296804,0.3470319634703196,217
5m,BTC,weekend,tf1,12,50.0,60.0,0.7486338797814208,0.2513661202185792,181
5m,BTC,weekend,tf1,12,60.0,70.0,0.7043478260869566,0.2956521739130434,113
5m,BTC,weekend,tf1,12,70.0,80.0,0.819047619047619,0.1809523809523809,103
5m,BTC,weekend,tf1,12,80.0,90.0,0.7987012987012987,0.2012987012987013,75
5m,BTC,weekend,tf1,12,90.0,100.0,0.847457627118644,0.1525423728813559,57
5m,BTC,weekend,tf1,12,100.0,110.0,0.8596491228070176,0.1403508771929824,55
5m,BTC,weekend,tf1,12,110.0,120.0,0.8536585365853658,0.1463414634146341,39
5m,BTC,weekend,tf1,12,120.0,130.0,0.8857142857142857,0.1142857142857143,33
5m,BTC,weekend,tf1,12,130.0,140.0,0.8620689655172413,0.1379310344827586,27
5m,BTC,weekend,tf1,12,140.0,150.0,0.8666666666666667,0.1333333333333333,28
5m,BTC,weekend,tf1,12,150.0,160.0,0.9090909090909092,0.0909090909090909,20
5m,BTC,weekend,tf1,13,-150.0,-140.0,0.0416666666666666,0.9583333333333334,22
5m,BTC,weekend,tf1,13,-140.0,-130.0,0.125,0.875,30
