event_type,ticker,day_type,time_frame,slot,inf_range,sup_range,prob_up,prob_down,count_of_klines_inside_range
5m,BTC,weekend,tf1,14,-10.0,0.0,0.4233449477351916,0.5766550522648084,285
5m,BTC,weekend,tf1,14,0.0,10.0,0.5644067796610169,0.435593220338983,293
5m,BTC,weekend,tf1,14,10.0,20.0,0.6612149532710281,0.3387850467289719,212
5m,BTC,weekend,tf1,14,20.0,30.0,0.7368421052631579,0.2631578947368421,169
5m,BTC,weekend,tf1,14,30.0,40.0,0.7580645161290323,0.2419354838709677,122
5m,BTC,weekend,tf1,14,40.0,50.0,0.8725490196078431,0.1274509803921568,100
5m,BTC,weekend,tf1,14,50.0,60.0,0.7678571428571429,0.2321428571428571,54
5m,BTC,weekend,tf1,14,60.0,70.0,0.9148936170212766,0.0851063829787234,45
5m,BTC,weekend,tf1,14,70.0,80.0,0.8913043478260869,0.108695652173913,44
5m,BTC,weekend,tf1,14,80.0,90.0,0.8695652173913043,0.1304347826086956,21
5m,BTC,weekend,tf1,14,90.0,100.0,0.875,0.125,22
5m,BTC,weekend,tf1,15,-90.0,-80.0,0.1212121212121212,0.8787878787878788,31
5m,BTC,weekend,tf1,15,-80.0,-70.0,0.1351351351351351,0.8648648648648649,35
5m,BTC,weekend,tf1,15,-70.0,-60.0,0.108695652173913,0.8913043478260869,44
5m,BTC,weekend,tf1,15,-60.0,-50.0,0.10625,0.89375,78
5m,BTC,weekend,tf1,15,-50.0,-40.0,0.1264367816091954,0.8735632183908046,85
5m,BTC,weekend,tf1,15,-40.0,-30.0,0.2735042735042735,0.7264957264957265,115
5m,BTC,weekend,tf1,15,-30.0,-20.0,0.2865853658536585,0.7134146341463414,162
5m,BTC,weekend,tf1,15,-20.0,-10.0,0.3930131004366812,0.6069868995633187,227
5m,BTC,weekend,tf1,15,-10.0,0.0,0.4535714285714285,0.5464285714285715,278
5m,BTC,weekend,tf1,15,0.0,10.0,0.5771929824561404,0.4228070175438596,283
5m,BTC,weekend,tf1,15,10.0,20.0,0.6476190476190476,0.3523809523809523,208
5m,BTC,weekend,tf1,15,20.0,30.0,0.6842105263157894,0.3157894736842106,169
5m,BTC,weekend,tf1,15,30.0,40.0,0.8032786885245902,0.1967213114754098,120
5m,BTC,weekend,tf1,15,40.0,50.0,0.8301886792452831,0.1698113207547169,104
5m,BTC,weekend,tf1,15,50.0,60.0,0.8769230769230769,0.123076923076923,63
5m,BTC,weekend,tf1,15,60.0,70.0,0.859375,0.140625,62
5m,BTC,weekend,tf1,15,70.0,80.0,0.925925925925926,0.074074074074074,25
5m,BTC,weekend,tf1,15,90.0,100.0,0.9230769230769232,0.0769230769230768,24
5m,BTC,weekend,tf1,16,-90.0,-80.0,0.09375,0.90625,30
5m,BTC,weekend,tf1,16,-80.0,-70.0,0.1428571428571428,0.8571428571428572,33
5m,BTC,weekend,tf1,16,-70.0,-60.0,0.0892857142857142,0.9107142857142856,54
5m,BTC,weekend,tf1,16,-60.0,-50.0,0.1369047619047619,0.8630952380952381,82
5m,BTC,weekend,tf1,16,-50.0,-40.0,0.1282051282051282,0.8717948717948718,76
5m,BTC,weekend,tf1,16,-40.0,-30.0,0.2068965517241379,0.7931034482758621,114
5m,BTC,weekend,tf1,16,-30.0,-20.0,0.3045977011494253,0.6954022988505747,172
5m,BTC,weekend,tf1,16,-20.0,-10.0,0.3258928571428571,0.6741071428571428,222
5m,BTC,weekend,tf1,16,-10.0,0.0,0.4794776119402985,0.5205223880597014,266
5m,BTC,weekend,tf1,16,0.0,10.0,0.5760869565217391,0.4239130434782608,274
5m,BTC,weekend,tf1,16,10.0,20.0,0.6589861751152074,0.3410138248847926,215
5m,BTC,weekend,tf1,16,20.0,30.0,0.7435897435897436,0.2564102564102564,154
5m,BTC,weekend,tf1,16,30.0,40.0,0.7416666666666667,0.2583333333333333,118
5m,BTC,weekend,tf1,16,40.0,50.0,0.905982905982906,0.094017094017094,115
5m,BTC,weekend,tf1,16,50.0,60.0,0.8148148148148148,0.1851851851851852,52
5m,BTC,weekend,tf1,16,60.0,70.0,0.8787878787878788,0.1212121212121212,64
5m,BTC,weekend,tf1,16,70.0,80.0,0.90625,0.09375,30
5m,BTC,weekend,tf1,16,80.0,90.0,0.8928571428571429,0.1071428571428571,26
5m,BTC,weekend,tf1,16,90.0,100.0,0.96,0.04,23
5m,BTC,weekend,tf1,16,100.0,110.0,0.9615384615384616,0.0384615384615384,24
5m,BTC,weekend,tf1,17,-90.0,-80.0,0.125,0.875,22
5m,BTC,weekend,tf1,17,-80.0,-70.0,0.1224489795918367,0.8775510204081632,47
5m,BTC,weekend,tf1,17,-70.0,-60.0,0.0833333333333333,0.9166666666666666,46
5m,BTC,weekend,tf1,17,-60.0,-50.0,0.1602564102564102,0.8397435897435898,76
5m,BTC,weekend,tf1,17,-50.0,-40.0,0.108695652173913,0.8913043478260869,90
5m,BTC,weekend,tf1,17,-40.0,-30.0,0.21875,0.78125,126
5m,BTC,weekend,tf1,17,-30.0,-20.0,0.2793296089385474,0.7206703910614525,177
5m,BTC,weekend,tf1,17,-20.0,-10.0,0.3379629629629629,0.662037037037037,214
5m,BTC,weekend,tf1,17,-10.0,0.0,0.469758064516129,0.530241935483871,246
5m,BTC,weekend,tf1,17,0.0,10.0,0.6085271317829457,0.3914728682170543,256
5m,BTC,weekend,tf1,17,10.0,20.0,0.6807511737089202,0.3192488262910797,211
5m,BTC,weekend,tf1,17,20.0,30.0,0.6645962732919255,0.3354037267080745,159
5m,BTC,weekend,tf1,17,30.0,40.0,0.796875,0.203125,126
5m,BTC,weekend,tf1,17,40.0,50.0,0.8584905660377359,0.1415094339622641,104
5m,BTC,weekend,tf1,17,50.0,60.0,0.8840579710144928,0.1159420289855072,67
5m,BTC,weekend,tf1,17,60.0,70.0,0.8813559322033898,0.1186440677966101,57
5m,BTC,weekend,tf1,17,70.0,80.0,0.9230769230769232,0.0769230769230768,37
5m,BTC,weekend,tf1,17,80.0,90.0,0.9285714285714286,0.0714285714285714,26
5m,BTC,weekend,tf1,17,90.0,100.0,0.9545454545454546,0.0454545454545454,20
5m,BTC,weekend,tf1,17,110.0,120.0,0.9565217391304348,0.0434782608695651,21
5m,BTC,weekend,tf1,18,-90.0,-80.0,0.0606060606060606,0.9393939393939394,31
5m,BTC,weekend,tf1,18,-80.0,-70.0,0.0697674418604651,0.9302325581395348,41
5m,BTC,weekend,tf1,18,-70.0,-60.0,0.1428571428571428,0.8571428571428572,54
5m,BTC,weekend,tf1,18,-60.0,-50.0,0.1402439024390244,0.8597560975609756,80
5m,BTC,weekend,tf1,18,-50.0,-40.0,0.173469387755102,0.826530612244898,96
5m,BTC,weekend,tf1,18,-40.0,-30.0,0.2204724409448819,0.7795275590551181,125
5m,BTC,weekend,tf1,18,-30.0,-20.0,0.2584269662921348,0.7415730337078652,176
5m,BTC,weekend,tf1,18,-20.0,-10.0,0.3410138248847926,0.6589861751152073,215
5m,BTC,weekend,tf1,18,-10.0,0.0,0.4524793388429752,0.5475206611570248,240
5m,BTC,weekend,tf1,18,0.0,10.0,0.6145833333333334,0.3854166666666666,238
5m,BTC,weekend,tf1,18,10.0,20.0,0.6985294117647058,0.3014705882352941,202
5m,BTC,weekend,tf1,18,20.0,30.0,0.711764705882353,0.288235294117647,168
5m,BTC,weekend,tf1,18,30.0,40.0,0.7398373983739838,0.2601626016260162,121
5m,BTC,weekend,tf1,18,40.0,50.0,0.903846153846154,0.0961538461538461,102
5m,BTC,weekend,tf1,18,50.0,60.0,0.8533333333333334,0.1466666666666666,73
5m,BTC,weekend,tf1,18,60.0,70.0,0.9152542372881356,0.0847457627118644,57
5m,BTC,weekend,tf1,18,70.0,80.0,0.868421052631579,0.131578947368421,36
5m,BTC,weekend,tf1,18,80.0,90.0,0.9142857142857144,0.0857142857142857,33
5m,BTC,weekend,tf1,18,90.0,100.0,0.9629629629629628,0.037037037037037,25
5m,BTC,weekend,tf1,19,-110.0,-100.0,0.04,0.96,23
5m,BTC,weekend,tf1,19,-100.0,-90.0,0.037037037037037,0.962962962962963,25
5m,BTC,weekend,tf1,19,-90.0,-80.0,0.0967741935483871,0.9032258064516128,29
5m,BTC,weekend,tf1,19,-80.0,-70.0,0.119047619047619,0.8809523809523809,40
5m,BTC,weekend,tf1,19,-70.0,-60.0,0.0545454545454545,0.9454545454545454,53
5m,BTC,weekend,tf1,19,-60.0,-50.0,0.1012658227848101,0.8987341772151899,77
5m,BTC,weekend,tf1,19,-50.0,-40.0,0.1313131313131313,0.8686868686868687,97
5m,BTC,weekend,tf1,19,-40.0,-30.0,0.2807692307692307,0.7192307692307692,128
5m,BTC,weekend,tf1,19,-30.0,-20.0,0.2865168539325843,0.7134831460674157,176
5m,BTC,weekend,tf1,19,-20.0,-10.0,0.3381642512077294,0.6618357487922706,205
5m,BTC,weekend,tf1,19,-10.0,0.0,0.4156626506024096,0.5843373493975903,247
5m,BTC,weekend,tf1,19,0.0,10.0,0.6099137931034483,0.3900862068965517,230
5m,BTC,weekend,tf1,19,10.0,20.0,0.7176165803108808,0.2823834196891192,191
5m,BTC,weekend,tf1,19,20.0,30.0,0.7443181818181818,0.2556818181818182,174
5m,BTC,weekend,tf1,19,30.0,40.0,0.746268656716418,0.253731343283582,132
5m,BTC,weekend,tf1,19,40.0,50.0,0.9010989010989012,0.0989010989010988,89
5m,BTC,weekend,tf1,19,50.0,60.0,0.8620689655172413,0.1379310344827586,85
5m,BTC,weekend,tf1,19,60.0,70.0,0.9016393442622952,0.0983606557377049,59
5m,BTC,weekend,tf1,19,70.0,80.0,0.945945945945946,0.054054054054054,35
