minute,inf_range,sup_range,prob_up,prob_down,count_of_klines_inside_range,ticker
7,-70.0,-60.0,0.2321428571428571,0.7678571428571428,222,BTC
7,-60.0,-50.0,0.2345132743362832,0.7654867256637168,224,BTC
7,-50.0,-40.0,0.282312925170068,0.717687074829932,292,BTC
7,-40.0,-30.0,0.3090062111801242,0.6909937888198758,320,BTC
7,-30.0,-20.0,0.3312883435582822,0.6687116564417177,324,BTC
7,-20.0,-10.0,0.3948863636363636,0.6051136363636364,350,BTC
7,-10.0,0.0,0.4621409921671018,0.5378590078328982,381,BTC
7,0.0,10.0,0.5566037735849056,0.4433962264150943,369,BTC
7,10.0,20.0,0.6039473684210527,0.3960526315789473,378,BTC
7,20.0,30.0,0.6764705882352942,0.3235294117647058,355,BTC
7,30.0,40.0,0.6807017543859649,0.3192982456140351,283,BTC
7,40.0,50.0,0.7030716723549489,0.296928327645051,291,BTC
7,50.0,60.0,0.7261904761904762,0.2738095238095238,250,BTC
7,60.0,70.0,0.7291666666666666,0.2708333333333333,238,BTC
7,70.0,80.0,0.7602040816326531,0.2397959183673469,194,BTC
7,80.0,90.0,0.7884615384615384,0.2115384615384615,206,BTC
7,90.0,100.0,0.823170731707317,0.1768292682926829,162,BTC
7,100.0,110.0,0.8133333333333334,0.1866666666666666,148,BTC
7,110.0,120.0,0.8409090909090909,0.159090909090909,130,BTC
7,120.0,130.0,0.8478260869565217,0.1521739130434782,136,BTC
7,130.0,140.0,0.797979797979798,0.202020202020202,97,BTC
7,140.0,150.0,0.8636363636363636,0.1363636363636363,86,BTC
7,150.0,160.0,0.8676470588235294,0.1323529411764705,66,BTC
7,160.0,170.0,0.7938144329896907,0.2061855670103093,95,BTC
7,170.0,180.0,0.8571428571428571,0.1428571428571429,75,BTC
7,180.0,190.0,0.9367088607594936,0.0632911392405063,77,BTC
7,190.0,200.0,0.8813559322033898,0.1186440677966101,57,BTC
7,200.0,210.0,0.8412698412698413,0.1587301587301587,61,BTC
7,210.0,220.0,0.94,0.06,48,BTC
7,220.0,230.0,0.8611111111111112,0.1388888888888888,34,BTC
7,230.0,240.0,0.9375,0.0625,46,BTC
7,240.0,250.0,0.90625,0.09375,30,BTC
7,250.0,260.0,0.9142857142857144,0.0857142857142857,33,BTC
7,260.0,270.0,0.9428571428571428,0.0571428571428571,33,BTC
7,270.0,280.0,0.8260869565217391,0.1739130434782608,21,BTC
7,280.0,290.0,0.8695652173913043,0.1304347826086956,21,BTC
7,290.0,300.0,0.9,0.0999999999999999,28,BTC
8,-350.0,-340.0,0.0869565217391304,0.9130434782608696,21,BTC
8,-320.0,-310.0,0.0454545454545454,0.9545454545454546,20,BTC
8,-300.0,-290.0,0.074074074074074,0.925925925925926,25,BTC
8,-290.0,-280.0,0.0512820512820512,0.9487179487179488,37,BTC
8,-280.0,-270.0,0.0714285714285714,0.9285714285714286,26,BTC
8,-270.0,-260.0,0.1764705882352941,0.8235294117647058,32,BTC
8,-260.0,-250.0,0.0384615384615384,0.9615384615384616,24,BTC
8,-250.0,-240.0,0.1111111111111111,0.8888888888888888,34,BTC
8,-240.0,-230.0,0.0784313725490196,0.9215686274509804,49,BTC
8,-230.0,-220.0,0.0980392156862745,0.9019607843137256,49,BTC
8,-220.0,-210.0,0.0363636363636363,0.9636363636363636,53,BTC
8,-210.0,-200.0,0.081967213114754,0.918032786885246,59,BTC
8,-200.0,-190.0,0.1,0.9,48,BTC
8,-190.0,-180.0,0.0649350649350649,0.935064935064935,75,BTC
8,-180.0,-170.0,0.1866666666666666,0.8133333333333334,73,BTC
8,-170.0,-160.0,0.1157894736842105,0.8842105263157894,93,BTC
8,-160.0,-150.0,0.11,0.89,98,BTC
8,-150.0,-140.0,0.1237113402061855,0.8762886597938144,95,BTC
8,-140.0,-130.0,0.0943396226415094,0.9056603773584906,104,BTC
8,-130.0,-120.0,0.1553398058252427,0.8446601941747574,101,BTC
8,-120.0,-110.0,0.1716417910447761,0.8283582089552239,132,BTC
8,-110.0,-100.0,0.1490683229813664,0.8509316770186335,159,BTC
8,-100.0,-90.0,0.1851851851851851,0.8148148148148149,160,BTC
8,-90.0,-80.0,0.1830985915492957,0.8169014084507042,211,BTC
8,-80.0,-70.0,0.2047619047619047,0.7952380952380953,208,BTC
8,-70.0,-60.0,0.22568093385214,0.77431906614786,255,BTC
8,-60.0,-50.0,0.22007722007722,0.7799227799227799,257,BTC
8,-50.0,-40.0,0.2745098039215686,0.7254901960784313,253,BTC
8,-40.0,-30.0,0.3553054662379421,0.6446945337620579,309,BTC
8,-30.0,-20.0,0.3148148148148148,0.6851851851851851,322,BTC
8,-20.0,-10.0,0.382716049382716,0.617283950617284,322,BTC
8,-10.0,0.0,0.4554896142433234,0.5445103857566765,335,BTC
8,0.0,10.0,0.584931506849315,0.4150684931506849,363,BTC
8,10.0,20.0,0.5855072463768116,0.4144927536231884,343,BTC
8,20.0,30.0,0.682108626198083,0.317891373801917,311,BTC
8,30.0,40.0,0.6829268292682927,0.3170731707317072,326,BTC
8,40.0,50.0,0.7237354085603113,0.2762645914396887,255,BTC
8,50.0,60.0,0.759825327510917,0.2401746724890829,227,BTC
8,60.0,70.0,0.7926829268292683,0.2073170731707316,244,BTC
8,70.0,80.0,0.7286432160804021,0.2713567839195979,197,BTC
8,80.0,90.0,0.7918781725888325,0.2081218274111674,195,BTC
8,90.0,100.0,0.8121827411167513,0.1878172588832487,195,BTC
8,100.0,110.0,0.8289473684210527,0.1710526315789473,150,BTC
8,110.0,120.0,0.8523489932885906,0.1476510067114094,147,BTC
8,120.0,130.0,0.864,0.136,123,BTC
8,130.0,140.0,0.8737864077669902,0.1262135922330097,101,BTC
8,140.0,150.0,0.8809523809523809,0.119047619047619,82,BTC
8,150.0,160.0,0.9111111111111112,0.0888888888888889,88,BTC
8,160.0,170.0,0.8651685393258427,0.1348314606741573,87,BTC
8,170.0,180.0,0.898876404494382,0.101123595505618,87,BTC
8,180.0,190.0,0.9,0.0999999999999999,58,BTC
8,190.0,200.0,0.9027777777777778,0.0972222222222222,70,BTC
8,200.0,210.0,0.9818181818181818,0.0181818181818181,53,BTC
8,210.0,220.0,0.9375,0.0625,46,BTC
8,220.0,230.0,0.9318181818181818,0.0681818181818182,42,BTC
8,230.0,240.0,0.8409090909090909,0.159090909090909,42,BTC
